iteracion,timestamp,theta,x,y,sigma_theta,sigma_x,sigma_y,lm0_x,lm0_y,lm1_x,lm1_y,z_diff_range,z_diff_bearing
41,1779735450.544565,-0.000034,-0.001812,-0.000595,0.017215,0.016825,0.015688,-0.500698,-0.699591,0.798654,-0.800354,0.001316,-0.001192
42,1779735450.557543,0.000073,-0.001849,-0.000394,0.014856,0.014427,0.014697,-0.500693,-0.699575,0.798660,-0.800322,-0.000679,-0.000476
43,1779735450.575766,-0.000308,-0.001591,-0.000032,0.014177,0.013785,0.014011,-0.500694,-0.699515,0.798654,-0.800316,-0.000448,0.002022
44,1779735450.613264,0.000702,-0.000271,-0.000140,0.020381,0.018344,0.018127,-0.500738,-0.699528,0.798695,-0.800299,0.001267,-0.003191
45,1779735450.627086,-0.000076,-0.000008,-0.000833,0.017220,0.016817,0.015676,-0.500767,-0.699560,0.798701,-0.800236,-0.001284,0.001783
46,1779735450.644740,0.000634,-0.000636,-0.000571,0.014858,0.014421,0.014692,-0.500778,-0.699569,0.798697,-0.800153,-0.000357,-0.002493
47,1779735450.667696,0.000584,-0.000832,-0.000245,0.014179,0.013784,0.014012,-0.500801,-0.699534,0.798674,-0.800124,-0.002003,0.000296
48,1779735450.816100,-0.000267,-0.001443,0.000578,0.020378,0.018336,0.018117,-0.500793,-0.699563,0.798653,-0.800123,0.000603,0.002722
49,1779735450.832052,-0.001364,-0.001255,-0.000338,0.017192,0.016808,0.015668,-0.500849,-0.699597,0.798689,-0.800052,-0.001249,0.002786
50,1779735450.849352,-0.001036,-0.001532,-0.000180,0.014845,0.014419,0.014688,-0.500853,-0.699597,0.798688,-0.800013,-0.000311,-0.001176
51,1779735450.866090,-0.000966,-0.001724,-0.000070,0.014176,0.013785,0.014011,-0.500866,-0.699590,0.798677,-0.799997,-0.001145,-0.000351
52,1779735451.015724,-0.000778,-0.001417,0.000000,0.020377,0.018329,0.018104,-0.500875,-0.699597,0.798684,-0.799993,0.000441,-0.000588
53,1779735451.036626,-0.000496,-0.001285,0.000183,0.017193,0.016799,0.015660,-0.500847,-0.699593,0.798647,-0.800003,-0.000216,-0.000997
54,1779735451.060265,-0.000575,-0.001235,0.000100,0.014851,0.014414,0.014685,-0.500847,-0.699597,0.798646,-0.800016,0.000247,0.000311
55,1779735451.089673,-0.000742,-0.001148,0.000291,0.014182,0.013784,0.014011,-0.500850,-0.699573,0.798642,-0.800011,-0.000417,0.000890
56,1779735451.248270,-0.000483,-0.000643,0.000506,0.020370,0.018326,0.018097,-0.500866,-0.699587,0.798653,-0.800004,0.000875,-0.000804
57,1779735451.285644,-0.001372,-0.000668,-0.000184,0.017189,0.016795,0.015653,-0.500919,-0.699607,0.798705,-0.799960,-0.000476,0.002534
58,1779735451.311908,-0.000954,-0.001088,-0.000170,0.014844,0.014412,0.014682,-0.500929,-0.699623,0.798699,-0.799932,0.000335,-0.001378
59,1779735451.351894,-0.001210,-0.000967,0.000135,0.014179,0.013784,0.014011,-0.500933,-0.699588,0.798692,-0.799924,-0.000736,0.001368
60,1779735451.406424,-0.000476,0.000143,0.000275,0.020368,0.018320,0.018090,-0.500963,-0.699605,0.798716,-0.799911,0.001410,-0.002304
61,1779735451.437196,-0.000956,-0.000356,0.000046,0.017188,0.016789,0.015646,-0.501026,-0.699604,0.798808,-0.799905,0.001185,0.002124
62,1779735451.452020,-0.001282,-0.000075,-0.000094,0.014846,0.014409,0.014678,-0.501023,-0.699602,0.798809,-0.799935,0.000239,0.001155
63,1779735451.467419,-0.001278,-0.000269,0.000134,0.014181,0.013784,0.014011,-0.501037,-0.699585,0.798794,-0.799918,-0.001611,0.000003
64,1779735451.627137,-0.001245,-0.000677,-0.000527,0.020365,0.018317,0.018085,-0.501021,-0.699560,0.798789,-0.799927,-0.001448,-0.000133
65,1779735451.652213,-0.000722,-0.000852,-0.000067,0.017168,0.016782,0.015641,-0.501006,-0.699546,0.798786,-0.799955,0.000837,-0.001192
66,1779735451.674981,-0.000359,-0.001119,0.000218,0.014836,0.014407,0.014677,-0.501006,-0.699539,0.798789,-0.799914,-0.000768,-0.001367
67,1779735451.689181,-0.000238,-0.001173,0.000069,0.014182,0.013785,0.014011,-0.501004,-0.699553,0.798791,-0.799918,0.000379,-0.000651
68,1779735451.836235,-0.000338,-0.001065,0.000428,0.020370,0.018311,0.018076,-0.501010,-0.699565,0.798792,-0.799914,0.000664,0.000332
